index;titulo;ano;genero;logo;fundo;sinopse;url
1;O Beijo do Vampiro;2002;comedia;https://upload.wikimedia.org/wikipedia/pt/thumb/7/72/O-Beijo-do-Vampiro_logo.jpg/330px-O-Beijo-do-Vampiro_logo.jpg;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhcrPmJwYgzR8oUIB7S_dDsizQbxNTNbxMG0zg37dtEtuNrQ8RsoYj1TmvpCHVq4bnFMg8YBfccup7FF8rjPVS1fxrTsBZ2HAEZ00zrLq2nTFJFrkqFqRIcOTun0Zc-uPFZPhWdDiWcGgPo/s1600/O_beijo_do_vampiro.jpg;Uma história de amor entremeada por elementos sobrenaturais, drama, humor e a luta do bem contra o mal.;https://www.dropbox.com/scl/fi/wxmjou7d2fs308nmuvf6q/O-Beijo-Do-Vampiro_s01E02_OBVzJ8ZbkUekz24eeeVxdBUi090.mp4?rlkey=676ou5x99j68c6zwkfzrmjo76&st=v5wgmmom&raw=1
2;FARAH FARAH;;;;;;https://cdn-novflix.com/storage8/FARAH/FARAH-001.mp4
;RAIS;;;;;;https://cdn-novflix.com/storage1/RAISUCv2/RAISUCv2-001.mp4
