index;nome;grupo;logo;url
1108;Animal Planet SD;DOCUMENTÁRIOS;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Animal_Planet_logo.svg/960px-Animal_Planet_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/227218.ts
1109;Animal Planet HD;DOCUMENTÁRIOS;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Animal_Planet_logo.svg/960px-Animal_Planet_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/227217.ts
1110;Animal Planet FHD;DOCUMENTÁRIOS;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Animal_Planet_logo.svg/960px-Animal_Planet_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/227216.ts
1111;Warner Channel SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/5/5e/Warner2018LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223537.ts
1112;Warner Channel HD²;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/5/5e/Warner2018LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223536.ts
1113;Warner Channel HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/5/5e/Warner2018LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223535.ts
1114;Warner Channel FHD²;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/5/5e/Warner2018LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223534.ts
1115;Warner Channel FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/5/5e/Warner2018LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223533.ts
1116;Universal SD;FILMES E SÉRIES;https://pt.wikipedia.org/wiki/Universal_TV#/media/Ficheiro:Universal_TV_logo.svg;http://alphaboxapp3.click:80/878698658teste/181506425/223532.ts
1117;Universal HD;FILMES E SÉRIES;https://pt.wikipedia.org/wiki/Universal_TV#/media/Ficheiro:Universal_TV_logo.svg;http://alphaboxapp3.click:80/878698658teste/181506425/223531.ts
1118;TNT Series SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TNT_Serie_HD_Logo_2016.svg/960px-TNT_Serie_HD_Logo_2016.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223530.ts
1119;TNT Series HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TNT_Serie_HD_Logo_2016.svg/960px-TNT_Serie_HD_Logo_2016.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223529.ts
1120;TNT Series FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TNT_Serie_HD_Logo_2016.svg/960px-TNT_Serie_HD_Logo_2016.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223528.ts
1121;TNT SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/TNT_Serie_HD_Logo_2016.svg/960px-TNT_Serie_HD_Logo_2016.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223527.ts
1122;TNT Novelas SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo_TNT_Novelas.png/500px-Logo_TNT_Novelas.png;http://alphaboxapp3.click:80/878698658teste/181506425/223526.ts
1123;TNT Novelas HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo_TNT_Novelas.png/500px-Logo_TNT_Novelas.png;http://alphaboxapp3.click:80/878698658teste/181506425/223525.ts
1124;TNT Novelas FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo_TNT_Novelas.png/500px-Logo_TNT_Novelas.png;http://alphaboxapp3.click:80/878698658teste/181506425/223524.ts
1125;TLC SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/TLC-Logo_2016.png/960px-TLC-Logo_2016.png;http://alphaboxapp3.click:80/878698658teste/181506425/223523.ts
1126;TLC HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/TLC-Logo_2016.png/960px-TLC-Logo_2016.png;http://alphaboxapp3.click:80/878698658teste/181506425/223522.ts
1127;TLC FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/TLC-Logo_2016.png/960px-TLC-Logo_2016.png;http://alphaboxapp3.click:80/878698658teste/181506425/223521.ts
1128;Studio Universal SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Logo_Studio_Universal.svg/960px-Logo_Studio_Universal.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223520.ts
1129;Studio Universal HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Logo_Studio_Universal.svg/960px-Logo_Studio_Universal.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223519.ts
1130;Studio Universal FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Logo_Studio_Universal.svg/960px-Logo_Studio_Universal.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223518.ts
1131;Space SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/SpaceLogo.svg/960px-SpaceLogo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223513.ts
